"PRPTY_LOCTN_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","LOCTN_LABEL_1","LOCTN_LABEL_2","LOCTN_LABEL_2_ORIG","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
V0K,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V0X,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
B0E,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
B0K,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
B0N,"200001","999912",NS,Halifax,Halifax,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
B1M,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L1T,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L1V,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L1X,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L1Z,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L3Z,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L4S,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M1W,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M2P,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M4E,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M4R,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V1T,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V1Y,"200001","999912",BC,Kelowna,Kelowna,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V2G,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V3R,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V3T,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V4M,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V4X,"200001","999912",BC,Abbotsford - Mission,Abbotsford - Mission,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cochrane,"200001","999912",AB,Calgary,Calgary,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R3X,"200001","999912",MB,Winnipeg,Winnipeg,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R9A,"200001","999912",MB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ROGERSVILLE,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
TRENTON,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Union Bay,"200001","999912",BC,Victoria,Victoria,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V0W,"200001","999912",YT,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V1J,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V1L,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G9H,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
GANDER,"200001","999912",NL,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
GLACE BAY,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
GRANBY,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J0L 2R0,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J0P 1Z0,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J1E,"200001","999912",QC,Sherbrooke,Sherbrooke,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J1X,"200001","999912",QC,Sherbrooke,Sherbrooke,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V5K,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V5X,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V6P,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V7K,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V7M,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
A0R,"200001","999912",NL,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ALMA,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
B0H,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Port Moody,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R1N,"200001","999912",MB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SAULT STE. MARIE,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SEPT-ILES,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SHAWINIGAN,"200001","999912",QC,Trois-Rivieres,Trois-Rivières,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Shubenacadie,"200001","999912",NS,Halifax,Halifax,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
South Saanich 1,"200001","999912",BC,Victoria,Victoria,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ST MARYS,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E7M,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E8P,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E9A,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0A2W0,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0B 0S0,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0B3M0,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0G,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0L,"200001","999912",AB,Calgary,Calgary,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ESKASONI,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ESPANOLA,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
FERGUS,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
FORT MCMURRAY,"200001","999912",AB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
FREDERICTON AREA,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G5X,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G6S,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G7K,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M6H,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M6M,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M6S,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M8Z,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M9L,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M9P,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MAGOG,"200001","999912",QC,Sherbrooke,Sherbrooke,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N8N,"200001","999912",ON,Windsor,Windsor,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Maple Ridge,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MARIEVILLE,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Matsqui 4,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MEAFORD,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MIDDLETON,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MIRAMICHI,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
PETERBOROUGH,"200001","999912",ON,Peterborough,Peterborough,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pitt Meadows,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lac-Beauport,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
LAC-MEGANTIC,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N1E,"200001","999912",ON,Guelph,Guelph,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N2H,"200001","999912",ON,Kitchener - Cambridge - Waterloo,Kitchener,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N2L,"200001","999912",ON,Kitchener - Cambridge - Waterloo,Kitchener,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N3A,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
New Westminister,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Saanich,"200001","999912",BC,Victoria,Victoria,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
NORTH SYDNEY,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Vancouv,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Notre-Dame-de-la-Salette,"200001","999912",QC,OTTAWA_GATINEAU,Ottawa - Gatineau,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Notre-Dame-de-l'Île-Perrot,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wabamun 133B,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Whitchurch-Stouffville,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R0A,"200001","999912",MB,Winnipeg,Winnipeg,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SIOUX LOOKOUT,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Strathcona County,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
STURGEON FALLS,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sundance Beach,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0B 3M0,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0B0S0,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0E 2B0,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J9J,"200001","999912",QC,OTTAWA_GATINEAU,Ottawa - Gatineau,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J9Y,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
JOLIETTE,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
K0H,"200001","999912",ON,Kingston,Kingston,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L5B,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L5H,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L6Z,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L8L,"200001","999912",ON,Hamilton,Hamilton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T2L,"200001","999912",AB,Calgary,Calgary,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T2P,"200001","999912",AB,Calgary,Calgary,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V0H,"200001","999912",BC,Kelowna,Kelowna,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V1M,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V2C,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V2J,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V2N,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ABBOTSFORD,"200001","999912",BC,Abbotsford - Mission,Abbotsford - Mission,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MIDLAND,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Musqueam 4,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L8P,"200001","999912",ON,Hamilton,Hamilton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L8V,"200001","999912",ON,Hamilton,Hamilton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L9K,"200001","999912",ON,Hamilton,Hamilton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L9M,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
LA TUQUE,"200001","999912",QC,Trois-Rivieres,Trois-Rivières,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lac-Delage,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MORDEN,"200001","999912",MB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MTL (NV-QC),"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G3M,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H8Z,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Halton Hills,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
HAWKESBURY,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J0B,"200001","999912",QC,Sherbrooke,Sherbrooke,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J0G,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J0L1N0,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J0P 1H0,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H2Z,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H3L,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P0A,"200001","999912",ON,Barrie,Barrie,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P0K,"200001","999912",ON,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P0P,"200001","999912",ON,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P7B,"200001","999912",ON,Thunder Bay,Thunder Bay,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P7G,"200001","999912",ON,Thunder Bay,Thunder Bay,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
PARADISE,"200001","999912",NL,St. Johns,St. John's,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M2M,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M2R,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M3B,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
M4K,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P5N,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P9A,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
PEACE RIVER,"200001","999912",AB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
PORT ALBERNI,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V5J,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
A1C,"200001","999912",NL,St. Johns,St. John's,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
A1L,"200001","999912",NL,St. Johns,St. John's,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
A2H,"200001","999912",NL,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ALLISTON,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ASBESTOS,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
B0V,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
B1B,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T0E 2K0,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T2B,"200001","999912",AB,Calgary,Calgary,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V7P,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V7S,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V8T,"200001","999912",BC,Victoria,Victoria,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V8X,"200001","999912",BC,Victoria,Victoria,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V9Y,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
VAL D'OR,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H2C,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H2H,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H2Y,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H3B,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H3E,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H4B,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H6W,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H7E,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L3M,"200001","999912",ON,Hamilton,Hamilton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L5C,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L6S,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L7A,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L7L,"200001","999912",ON,Hamilton,Hamilton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L8H,"200001","999912",ON,Hamilton,Hamilton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L9L,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L9N,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E2K,"200001","999912",NB,Saint John,Saint John,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E3E,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E4E,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E5A,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E5J,"200001","999912",NB,Saint John,Saint John,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SAINT-HYACINTHE,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SAINT-JEAN-CHRYSOSTOME,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Lambert,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V1V,"200001","999912",BC,Kelowna,Kelowna,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V2K,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V2Z,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V3C,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
B4H,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
BANFF,"200001","999912",AB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
BONNYVILLE,"200001","999912",AB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
BROOKS,"200001","999912",AB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G0A3K0,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G0P,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G0W,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G1M,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G1S,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G4R,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G8W,"200001","999912",QC,Trois-Rivieres,Trois-Rivières,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G8Y,"200001","999912",QC,Trois-Rivieres,Trois-Rivières,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G6C,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G6G,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G6R,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G7H,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G8E,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G8T,"200001","999912",QC,Trois-Rivieres,Trois-Rivières,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
GRAND FALLS/GRAND-SAULT,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H2W,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P1C,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
P3L,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
