"CITY_NM","METRPL_AREA_NM","METRPL_AREA_NM_ORIG","PROV","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Stony Plain,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Parkland County,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Edmonton,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Betula Beach,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Itaska Beach,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Thorsby,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Stony Plain 135,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Beaumont,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Golden Days,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Vancouver,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Morinville,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Surrey,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
New Westminster,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coquitlam 2,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Whitefish Lake 6,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Delta,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Markstay-Warren,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Grimsby,Hamilton,Hamilton,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coquitlam 1,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Katzie 1,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bruderheim,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Spring Lake,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Burrard Inlet 3,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Tsawwassen,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wabamun 133A,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Burlington,Hamilton,Hamilton,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Kapasiwin,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Leduc,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fort Saskatchewan,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bowen Island,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Greater Vancouver A,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sturgeon County,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
St. Albert,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Burnaby,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Leduc County,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lions Bay,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Calmar,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pitt Meadows,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Warburg,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Port Moody,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Richmond,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
West Vancouver,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Whonnock 1,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lakeview,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mission 1,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Langley 5,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bon Accord,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Alexander 134,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Anmore,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Point Alison,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
McMillan Island 6,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Redwater,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Belcarra,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Matsqui 4,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Capilano 5,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Gibbons,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Legal,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Spruce Grove,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Strathcona County,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hamilton,Hamilton,Hamilton,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Katzie 2,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Maple Ridge,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Seymour Creek 2,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Tyendinaga,Belleville,Belleville,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Toronto,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Brampton,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Halton Hills,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Milton,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Belleville,Belleville,Belleville,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Markham,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
New Tecumseth,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Richmond Hill,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Oakville,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pickering,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Quinte West,Belleville,Belleville,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Stirling-Rawdon,Belleville,Belleville,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mississauga,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Ajax,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Newmarket,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Orangeville,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Vaughan,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bradford West Gwillimbury,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Uxbridge,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
East Gwillimbury,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Aurora,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Caledon,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mono,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Whitchurch-Stouffville,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Georgina,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Chippewas of Georgina Island First Nation,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
King,Toronto,Toronto,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Jean-de-l'Île-d'Orléans,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lac-Saint-Joseph,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Laurent-de-l'Île-d'Orléans,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Catherine-de-la-Jacques-Cartier,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L'Ancienne-Lorette,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Gabriel-de-Valcartier,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Lambert-de-Lauzon,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wendake,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Henri,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Notre-Dame-des-Anges,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Neuville,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Stoneham-et-Tewkesbury,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lévis,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Famille,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Pierre-de-l'Île-d'Orléans,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Antoine-de-Tilly,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Château-Richer,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Québec,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Beaumont,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Augustin-de-Desmaures,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Pétronille,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Boischatel,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lac-Delage,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fossambault-sur-le-Lac,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Brigitte-de-Laval,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lac-Beauport,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-François-de-l'Île-d'Orléans,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Shannon,Quebec,Québec,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L'Île-Dorval,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Rosemère,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mont-Royal,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mirabel,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Delson,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Terrebonne,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Joseph-du-Lac,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pincourt,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Senneville,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Thérèse,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Montréal,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lorraine,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Châteauguay,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Verchères,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Vaudreuil-sur-le-Lac,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Les Coteaux,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Dollard-Des Ormeaux,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Catherine,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L'Assomption,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Charlemagne,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Laval,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Côte-Saint-Luc,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Beloeil,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Repentigny,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Mathieu,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Chambly,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Calgary,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Montréal-Ouest,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Chestermere,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Irricana,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Kirkland,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Montréal-Est,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Longueuil,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Blainville,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Boisbriand,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pointe-Claire,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mercier,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Zotique,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Constant,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Varennes,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Airdrie,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Eustache,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Carignan,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Richelieu,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lavaltrie,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bois-des-Filion,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Marthe-sur-le-Lac,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Anne-de-Bellevue,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mont-Saint-Hilaire,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Jérôme,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Notre-Dame-de-l'Île-Perrot,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Lazare,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Baie-D'Urfé,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Julie,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Amable,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cochrane,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L'Épiphanie,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Isidore,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Kahnawake,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Boucherville,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Basile-le-Grand,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Otterburn Park,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Candiac,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Lambert,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Léry,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hampstead,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Beaconsfield,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Bruno-de-Montarville,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Mathieu-de-Beloeil,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Beauharnois,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Oka,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coteau-du-Lac,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Mathias-sur-Richelieu,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
La Prairie,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Placide,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Les Cèdres,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Dorval,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Beiseker,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Kanesatake,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hudson,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Colomban,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Crossfield,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Anne-des-Plaines,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Rocky View County,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Lin--Laurentides,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mascouche,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pointe-Calumet,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L'Île-Cadieux,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L'Île-Perrot,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pointe-des-Cascades,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Westmount,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Tsuu T'ina Nation 145,Calgary,Calgary,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Gore,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Sulpice,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Vaudreuil-Dorion,Montreal,Montréal,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
